Qty;Value;Device;Package;Parts;Description;MPN;;V
8;100R;R_0603;R_0603;R5, R6, R15, R16, R29, R33,R20, R21;FILM;RC0603FR-07100RL;https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0603FR-07100RL_C105588.html;
2;100k;R_0603;R_0603;R7, R24;;RC0603FR-07100KL;https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0603FR-07100KL_C14675.html;
2;10M;R_0603;R_0603;R22, R23;FILM;CRCW060310M0DHEAP;https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Vishay-Intertech-CRCW060310M0DHEAP_C4098828.html;
6;10k;R_0603;R_0603;R8, R9, R10, R11, R13, R14;;RC0603FR-0710KL;https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0603FR-0710KL_C98220.html;
1;150R;R_0603;R_0603;R26;;RC0603FR-07150RL;https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0603FR-07150RL_C114608.html;
1;33k;R_0603;R_0603;R18;;RC0603FR-0733KL;https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0603FR-0733KL_C126359.html;
4;1k;R_0603;R_0603;R25, R28, R31, R35;;RC0603FR-071KL;https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0603FR-071KL_C22548.html;
1;2k2;R_0603;R_0603;R36;;RC0603FR-072K2L;https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0603FR-072K2L_C114662.html;
3;270R;R_0603;R_0603;R12, R37, R38;;RC0603FR-07270RL;https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0603FR-07270RL_C137754.html;
1;2k;R_0603;R_0603;R27;;RC0603FR-072KL;https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0603FR-072KL_C105576.html;
1;1k;R-US_R0402;R0402;R4;;RC0402FR-071KL;https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-071KL_C106235.html;
1;22.1k;R-US_R0402;R0402;R2;;RC0402FR-0722K1L;https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-0722K1L_C163478.html;
2;47.5k;R-US_R0402;R0402;R1, R3;;RC0402FR-0747K5L;https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-0747K5L_C137974.html;
